ds_name,algo_name,hc_cat_encoder,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,train_time(s),0.2024269104003906,one-hot,0.302248477935791,0.6697367403894544
Adult,DT,mhe,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,TargetEncoder,pred_time(s),0.0020265579223632,one-hot,0.0039329528808593,0.5152764306498436
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,AUC,0.7574510648090687,TargetEncoder,0.7600260255057716,0.996612009838756
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,Accuracy,0.8348461065993312,TargetEncoder,0.837098205145704,0.9973096363932822
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,Precision,0.6620646375902103,TargetEncoder,0.6678211586901763,0.991380145679636
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,Recall,0.6110628439038517,TargetEncoder,0.6142484795829714,0.9948137670909948
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,F1,0.6355421686746987,TargetEncoder,0.6399155227032736,0.993165732235874
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,Aver_precision,0.4962166865903684,TargetEncoder,0.501111018139643,0.9902330394421488
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,Balanced_accuracy,0.7574510648090687,TargetEncoder,0.7600260255057714,0.9966120098387564
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,train_time(s),0.2025763988494873,TargetEncoder,0.2025492191314697,1.000134188214273
Adult,DT,mhe+te,8.0,DT_Adult_native-country_0_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,TargetEncoder,pred_time(s),0.0028743743896484,TargetEncoder,0.0018951892852783,1.5166687633664575
Adult,DT,mhe+te,8.0,DT_Adult_native-country_1_8_mhe+te,34189.0,14.0,14653.0,14.0,native-country,1.0,TargetEncoder,AUC,0.7569121036357344,TargetEncoder,0.7561554345290689,1.0010006793208288
