ds_name,algo_name,J,exp_key,train_samples,train_dim,test_samples,test_dim,hc_name,fold,hc_cat_encoder,other_cat_encoder,measure,performance,hc_cat_encoder_baseline,performance_baseline,relative_performance
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,train_time(s),0.2025492191314697,one-hot,0.3022835254669189,0.6700637053197137
Adult,DT,2.0,DT_Adult_native-country_2_2_pca,34189.0,15.0,14653.0,15.0,native-country,2.0,pca,TargetEncoder,pred_time(s),0.0018942356109619,one-hot,0.003892183303833,0.4866768759571183
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,AUC,0.7635464064496406,one-hot,0.7654715641253566,0.9974850043215966
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,Accuracy,0.8338906708523852,one-hot,0.8358015423462772,0.9977137258104024
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,Precision,0.6723621103117506,one-hot,0.6773028296207104,0.9927053024247268
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,Recall,0.6258370535714286,one-hot,0.6277901785714286,0.9968888888888888
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,F1,0.6482658959537573,one-hot,0.6516072980017377,0.9948720616570328
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,Aver_precision,0.5123062175259032,one-hot,0.516243441956376,0.992373318263275
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,Balanced_accuracy,0.7635464064496406,one-hot,0.7654715641253566,0.9974850043215966
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,train_time(s),0.2025544643402099,one-hot,0.3022835254669189,0.6700810572701122
Adult,DT,2.0,DT_Adult_native-country_2_2_mhe,34189.0,15.0,14653.0,15.0,native-country,2.0,mhe,TargetEncoder,pred_time(s),0.0018918514251708,one-hot,0.003892183303833,0.4860643185298378
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,AUC,0.7646966843845181,one-hot,0.7624174589888506,1.0029894716717145
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,Accuracy,0.8367569780932232,one-hot,0.8387360949976114,0.997640358014646
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,Precision,0.6730710582494663,one-hot,0.6832493702770781,0.985103078801984
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,Recall,0.625744258576694,one-hot,0.615253756733768,1.0170506912442396
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,F1,0.6485454011166618,one-hot,0.6474712815157392,1.0016589455495355
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,Aver_precision,0.5112542921686535,one-hot,0.5129807638922212,0.9966344318440554
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,Balanced_accuracy,0.7646966843845182,one-hot,0.7624174589888506,1.0029894716717145
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,train_time(s),0.2015538215637207,one-hot,0.3032751083374023,0.6645907165565539
Adult,DT,2.0,DT_Adult_native-country_3_2_pca,34189.0,15.0,14653.0,15.0,native-country,3.0,pca,TargetEncoder,pred_time(s),0.0018947124481201,one-hot,0.0038914680480957,0.4868888616591064
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,AUC,0.7626074369106384,one-hot,0.7624174589888506,1.0002491783465186
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,Accuracy,0.8397597761550536,one-hot,0.8387360949976114,1.0012205044751832
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,Precision,0.6870834655664868,one-hot,0.6832493702770781,1.0056115606632083
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,Recall,0.6138361213495889,one-hot,0.615253756733768,0.9976958525345624
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,F1,0.648397723869422,one-hot,0.6474712815157392,1.0014308624646855
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,Aver_precision,0.5147068986425144,one-hot,0.5129807638922212,1.0033649112633312
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,Balanced_accuracy,0.7626074369106384,one-hot,0.7624174589888506,1.0002491783465186
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,train_time(s),0.2025511264801025,one-hot,0.3032751083374023,0.6678791661818765
Adult,DT,2.0,DT_Adult_native-country_3_2_mhe,34189.0,15.0,14653.0,15.0,native-country,3.0,mhe,TargetEncoder,pred_time(s),0.0028944015502929,one-hot,0.0038914680480957,0.7437813993382992
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,AUC,0.7581776437847628,one-hot,0.763736913067626,0.9927209629549868
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,Accuracy,0.8340271616733774,one-hot,0.837098205145704,0.9963313223544756
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,Precision,0.6642879304995346,one-hot,0.6698461538461539,0.9917022389175412
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,Recall,0.6132913205385276,one-hot,0.6236035519908336,0.9834634818557648
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,F1,0.6377718200774501,one-hot,0.6458982346832816,0.9874184288337368
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,Aver_precision,0.4995333262836598,one-hot,0.5073929102177933,0.9845098664647092
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,Balanced_accuracy,0.7581776437847628,one-hot,0.7637369130676261,0.9927209629549868
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,train_time(s),0.2025146484375,one-hot,0.302248477935791,0.6700270248524519
Adult,DT,2.0,DT_Adult_native-country_4_2_pca,34189.0,15.0,14653.0,15.0,native-country,4.0,pca,TargetEncoder,pred_time(s),0.0029332637786865,one-hot,0.0039329528808593,0.7458171677982623
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,AUC,0.7581581911990035,one-hot,0.763736913067626,0.9926954926844964
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,Accuracy,0.8320480447689893,one-hot,0.837098205145704,0.9939670634273602
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,Precision,0.6571079926784624,one-hot,0.6698461538461539,0.980983452551678
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,Recall,0.6170151818963048,one-hot,0.6236035519908336,0.9894350022967384
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,F1,0.6364307874132072,one-hot,0.6458982346832816,0.9853421998053352
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,Aver_precision,0.4966897214613618,one-hot,0.5073929102177933,0.978905521656112
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,Balanced_accuracy,0.7581581911990035,one-hot,0.7637369130676261,0.9926954926844964
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,train_time(s),0.2024269104003906,one-hot,0.302248477935791,0.6697367403894544
Adult,DT,2.0,DT_Adult_native-country_4_2_mhe,34189.0,15.0,14653.0,15.0,native-country,4.0,mhe,TargetEncoder,pred_time(s),0.0020265579223632,one-hot,0.0039329528808593,0.5152764306498436
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,AUC,0.7583330489015763,TargetEncoder,0.7600260255057716,0.9977724754845484
Adult,DT,2.0,DT_Adult_native-country_0_2_mhe+te,34189.0,14.0,14653.0,14.0,native-country,0.0,mhe+te,TargetEncoder,Accuracy,0.8363475056302464,TargetEncoder,0.837098205145704,0.999103212131094
