ds_name,algo_name,hc_cat_encoder,J,performance_mean,performance_std,relative_performance_mean,relative_performance_std,performance_baseline_mean,performance_baseline_std,measure_count
Traffic,SVM,pca,10.0,0.6301600871962643,0.008183771030765672,0.87450461884753,0.01044927511356209,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,21.0,0.6321040612800569,0.006427596418193284,0.8772149562690258,0.009357163988570609,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,31.0,0.6571440379417433,0.0038542188090375123,0.9119553460121592,0.004005889342740213,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,42.0,0.681915753282628,0.006873835965179318,0.9463219298681169,0.007248427071795739,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,52.0,0.6890456290172768,0.0045825592897736,0.9562262739118857,0.004991317538632515,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,105.0,0.7064673967348721,0.0036472625307996066,0.9804002463473125,0.001289386903309052,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,157.0,0.7154202016430278,0.003020773721077707,0.9928276830901233,0.0009475617779903787,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,210.0,0.7183925985156676,0.0032172195447779345,0.9969519755709996,0.0012088337893800928,0.7205881796047116,0.002869425389707493,5
Traffic,SVM,pca,262.0,0.7198975533631391,0.0028891490135251937,0.9990416676275663,0.0006896494609718762,0.7205881796047116,0.002869425389707493,5
Visa,DT,mhe,3.0,0.7128787975814819,0.009269431435991024,0.9592003063339429,0.018460939882026944,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,6.0,0.7122199191786964,0.00879401556332895,0.9583098838206314,0.017757138036691326,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,9.0,0.7133118786839033,0.008246760155185402,0.959785133404289,0.01770819275977506,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,12.0,0.7124862857885172,0.00834968489918023,0.9586729612180444,0.017697274297245803,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,15.0,0.7117420331705381,0.00811269366428195,0.9576647877993472,0.017015190377148066,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,30.0,0.7117421393635853,0.01331243760342059,0.9576995790245298,0.023986180684705784,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,45.0,0.712578686380285,0.0065160007373148985,0.9587950232445538,0.01605388645816684,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,61.0,0.708582214996978,0.002804149173322241,0.9533784104935977,0.009951259839844807,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,76.0,0.7074564074766261,0.006228787495454783,0.9518579188595979,0.011898935603781432,0.7432826397379484,0.006392394088921696,5
Visa,DT,mhe,152.0,0.7111650994606676,0.0035796366256266405,0.9568666780660339,0.011834173331394636,0.7432826397379484,0.006392394088921696,5
